TIGR00001	ribosomal protein L35
TIGR00613	DNA repair protein RecO
TIGR00614	ATP-dependent DNA helicase, RecQ family
TIGR00615	recombination protein RecR
TIGR00616	recombinase, phage RecT family
TIGR00617	replication factor-a protein 1 (rpa1)
TIGR00618	exonuclease SbcC
TIGR00619	exonuclease SbcCD, D subunit
TIGR00621	single-stranded DNA-binding protein
TIGR00622	transcription factor ssl1
TIGR00623	cell division inhibitor SulA
TIGR00624	DNA-3-methyladenine glycosylase I
TIGR00625	transcription factor Tfb2
TIGR00627	transcription factor tfb4
TIGR00628	uracil-DNA glycosylase
TIGR00629	UV damage endonuclease UvdE
TIGR00630	excinuclease ABC subunit A
TIGR00631	excinuclease ABC subunit B
TIGR00632	DNA mismatch endonuclease Vsr
TIGR00633	exodeoxyribonuclease III (xth)
TIGR00634	DNA repair protein RecN
TIGR00635	Holliday junction DNA helicase RuvB
TIGR00636	ATP:cob(I)alamin adenosyltransferase
TIGR00637	ModE molybdate transport repressor domain
TIGR00638	molybdenum-pterin binding domain
TIGR00639	phosphoribosylglycinamide formyltransferase
TIGR00640	methylmalonyl-CoA mutase C-terminal domain
TIGR00641	methylmalonyl-CoA mutase N-terminal domain
TIGR00642	methylmalonyl-CoA mutase, small subunit
TIGR00643	ATP-dependent DNA helicase RecG
TIGR00644	single-stranded-DNA-specific exonuclease RecJ
TIGR00645	TIGR00645 family protein
TIGR00646	DNA primase-like protein
TIGR00647	conserved hypothetical protein
TIGR00648	recombination protein U
TIGR00649	beta-CASP ribonuclease, RNase J family
TIGR00651	phosphate acetyltransferase
TIGR00652	diaminopimelate epimerase
TIGR00653	glutamine synthetase, type I
TIGR00654	phenazine biosynthesis protein, PhzF family
TIGR00655	formyltetrahydrofolate deformylase
TIGR00656	aspartate kinase, monofunctional class
TIGR00657	aspartate kinase
TIGR00658	ornithine carbamoyltransferase
TIGR00659	TIGR00659 family protein
TIGR00661	conserved hypothetical protein
TIGR00663	DNA polymerase III, beta subunit
TIGR00664	DNA polymerase III, psi subunit
TIGR00665	replicative DNA helicase
TIGR00666	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR00667	leucyl/phenylalanyl-tRNA--protein transferase
TIGR00668	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
TIGR00669	aspartate--ammonia ligase
TIGR00670	aspartate carbamoyltransferase
TIGR00671	pantothenate kinase, type III
TIGR00672	CDP-diacylglycerol diphosphatase
TIGR00673	cyanase
TIGR00674	4-hydroxy-tetrahydrodipicolinate synthase
TIGR00675	DNA (cytosine-5-)-methyltransferase
TIGR00676	methylenetetrahydrofolate reductase [NAD(P)H]
TIGR00677	methylenetetrahydrofolate reductase
TIGR00678	DNA polymerase III, delta' subunit
TIGR00679	HPr(Ser) kinase/phosphatase
TIGR00680	K+-transporting ATPase, A subunit
TIGR00681	K+-transporting ATPase, C subunit
TIGR00682	tetraacyldisaccharide 4'-kinase
TIGR00683	N-acetylneuraminate lyase
TIGR00684	nitrate reductase molybdenum cofactor assembly chaperone
TIGR00685	trehalose-phosphatase
TIGR00686	putative alkylphosphonate utilization operon protein PhnA
TIGR00687	pyridoxal kinase
TIGR00688	protein RarD
TIGR00689	sugar-phosphate isomerase, RpiB/LacA/LacB family
TIGR00690	DNA-directed RNA polymerase, omega subunit
TIGR00691	RelA/SpoT family protein
TIGR00692	L-threonine 3-dehydrogenase
TIGR00693	thiamine-phosphate diphosphorylase
TIGR00694	hydroxyethylthiazole kinase
TIGR00695	mannonate dehydratase
TIGR00696	glycosyltransferase, WecB/TagA/CpsF family
TIGR00697	conserved hypothetical integral membrane protein
TIGR00698	conserved hypothetical protein
TIGR00699	4-aminobutyrate aminotransferase
TIGR00700	4-aminobutyrate transaminase
TIGR00701	TIGR00701 family protein
TIGR00702	YcaO-type kinase domain
TIGR00703	TIGR00703 family protein
TIGR00704	Na/Pi-cotransporter II-related protein
TIGR00705	signal peptide peptidase SppA, 67K type
TIGR00706	signal peptide peptidase SppA, 36K type
TIGR00707	transaminase, acetylornithine/succinylornithine family
TIGR00708	cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00709	2,4-diaminobutyrate 4-transaminase
TIGR00710	drug resistance transporter, Bcr/CflA subfamily
TIGR00711	drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
TIGR00712	glycerol-3-phosphate transporter
TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
TIGR00714	Fe-S protein assembly co-chaperone HscB
TIGR00715	precorrin-6x reductase
TIGR00716	ribonuclease HIII
TIGR00717	ribosomal protein S1
TIGR00718	L-serine dehydratase, iron-sulfur-dependent, alpha subunit
TIGR00719	L-serine dehydratase, iron-sulfur-dependent, beta subunit
TIGR00720	L-serine ammonia-lyase
TIGR00721	DNA-binding protein, Tfx family
TIGR00722	hydrolyase, tartrate alpha subunit/fumarate domain protein, Fe-S type
TIGR00723	hydrolyase, tartrate beta subunit/fumarate domain protein, Fe-S type
TIGR00724	biotin-dependent carboxylase uncharacterized domain
TIGR00725	TIGR00725 family protein
TIGR00726	YfiH family protein
TIGR00727	small oligopeptide transporter, OPT family
TIGR00728	oligopeptide transporter, OPT superfamily
TIGR00729	ribonuclease HII
TIGR00730	TIGR00730 family protein
TIGR00731	ribosomal protein L25, Ctc-form
TIGR00732	DNA protecting protein DprA
TIGR00733	oligopeptide transporter, OPT family
TIGR00734	hisA/hisF family protein
TIGR00735	imidazoleglycerol phosphate synthase, cyclase subunit
TIGR00736	putative TIM-barrel protein
TIGR00737	putative TIM-barrel protein, nifR3 family
TIGR00738	Rrf2 family protein
TIGR00739	preprotein translocase, YajC subunit
TIGR00740	tRNA (cmo5U34)-methyltransferase
TIGR00741	ribosomal subunit interface protein
TIGR00742	tRNA dihydrouridine synthase A
TIGR00743	conserved hypothetical protein
TIGR00744	ROK family protein (putative glucokinase)
TIGR00745	2-dehydropantoate 2-reductase
TIGR00746	carbamate kinase
TIGR00747	3-oxoacyl-[acyl-carrier-protein] synthase III
TIGR00748	putative hydroxymethylglutaryl-CoA synthase
TIGR00749	glucokinase
TIGR00750	LAO/AO transport system ATPase
TIGR00751	1,4-dihydroxy-2-naphthoate octaprenyltransferase
TIGR00752	outer membrane lipoprotein, Slp family
TIGR00753	undecaprenyl-diphosphatase UppP
TIGR00754	bacterioferritin
TIGR00755	ribosomal RNA small subunit methyltransferase A
TIGR00756	pentatricopeptide repeat domain
TIGR00757	ribonuclease, Rne/Rng family
TIGR00758	uracil-DNA glycosylase, family 4
TIGR00759	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR00760	L-ribulose-5-phosphate 4-epimerase
TIGR00761	acetylglutamate kinase
TIGR00762	EDD domain protein, DegV family
TIGR00763	endopeptidase La
TIGR00764	putative ATP-dependent protease
TIGR00765	YihY family inner membrane protein
TIGR00766	inner membrane protein YhjD
TIGR00767	transcription termination factor Rho
TIGR00768	alpha-L-glutamate ligase, RimK family
TIGR00769	ADP/ATP carrier protein family
TIGR00770	transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
TIGR00771	transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
TIGR00773	Na+/H+ antiporter NhaA
TIGR00774	Na+/H+ antiporter NhaB
TIGR00775	Na+/H+ antiporter, NhaD family
TIGR00776	RhaT L-rhamnose-proton symporter family protein
TIGR00777	alkylhydroperoxidase, AhpD family
TIGR00778	alkylhydroperoxidase AhpD family core domain
TIGR00779	cadmium resistance transporter family protein
TIGR00780	cytochrome c oxidase, cbb3-type, subunit I
TIGR00781	cytochrome c oxidase, cbb3-type, subunit II
TIGR00782	cytochrome c oxidase, cbb3-type, subunit III
TIGR00783	citrate carrier protein, CCS family
TIGR00784	citrate transporter
TIGR00785	transporter, divalent anion:Na+ symporter (DASS) family
TIGR00786	TRAP transporter, DctM subunit
TIGR00787	TRAP transporter solute receptor, DctP family
TIGR00788	folate/biopterin transporter
TIGR00789	FlhB domain protein
TIGR00790	formate/nitrite transporter
TIGR00791	transporter, gluconate:H+ symporter (GntP) family
TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
TIGR00793	2-keto-3-deoxygluconate transporter
TIGR00794	potassium uptake protein
TIGR00795	transporter, lactate permease (LctP) family
TIGR00796	branched-chain amino acid transport system II carrier protein
TIGR00797	MATE efflux family protein
TIGR00798	tricarboxylate carrier
TIGR00799	Golgi 4-transmembrane spanning transporter
TIGR00800	NCS1 nucleoside transporter family
TIGR00801	uracil-xanthine permease
TIGR00802	transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
TIGR00803	UDP-galactose transporter
TIGR00804	nucleoside transporter, NupC family
TIGR00805	sodium-independent organic anion transporter
TIGR00806	reduced folate carrier
TIGR00807	malonate transporter, MadL subunit
TIGR00808	malonate transporter, MadM subunit
TIGR00809	protein-export chaperone SecB
TIGR00810	preprotein translocase, SecG subunit
TIGR00811	silicon transporter
TIGR00813	transporter, solute:sodium symporter (SSS) family
TIGR00814	serine transporter
TIGR00815	sulfate permease
TIGR00816	C4-dicarboxylate transporter/malic acid transport protein
TIGR00817	Tpt phosphate/phosphoenolpyruvate translocator
TIGR00819	AbgT transporter family
TIGR00820	ZIP zinc/iron transport family
TIGR00821	PTS system, glucitol/sorbitol-specific, IIC component
TIGR00822	PTS system, mannose/fructose/sorbose family, IIC component
TIGR00823	PTS system, lactose-specific IIa component
TIGR00824	PTS system, mannose/fructose/sorbose family, IIA component
TIGR00825	PTS system, glucitol/sorbitol-specific, IIBC component
TIGR00826	PTS system, glucose-like IIB component
TIGR00827	PTS system, galactitol-specific IIC component
TIGR00828	PTS system, mannose/fructose/sorbose family, IID component
TIGR00829	PTS system, Fru family, IIB component
TIGR00830	PTS system, glucose subfamily, IIA component
TIGR00831	Na+/H+ antiporter
TIGR00832	arsenical-resistance protein
TIGR00833	transport protein
TIGR00834	anion exchange protein
TIGR00835	amino acid carrier protein
TIGR00836	ammonium transporter
TIGR00837	aromatic amino acid transport protein
TIGR00838	argininosuccinate lyase
TIGR00839	aspartate ammonia-lyase
TIGR00840	sodium/hydrogen exchanger 3
TIGR00841	bile acid transporter
TIGR00842	transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR00843	benzoate transporter
TIGR00844	sodium/hydrogen antiporter
TIGR00845	sodium/calcium exchanger 1
TIGR00846	calcium/proton exchanger
TIGR00847	cytochrome oxidase maturation protein, cbb3-type
TIGR00848	PTS system, fructose subfamily, IIA component
TIGR00849	PTS system, glucitol/sorbitol-specific IIA component
TIGR00851	PTS system, mannitol-specific IIC component
TIGR00852	PTS system, maltose and glucose-specific subfamily, IIC component
TIGR00853	PTS system, lactose/cellobiose family IIB component
TIGR00854	PTS system, mannose/fructose/sorbose family, IIB component
TIGR00855	ribosomal protein L7/L12
TIGR00856	dihydroorotase, homodimeric type
TIGR00857	dihydroorotase, multifunctional complex type
TIGR00858	8-amino-7-oxononanoate synthase
TIGR00859	sodium channel transporter
TIGR00860	cation transporter family protein
TIGR00861	MIP family channel proteins
TIGR00862	intracellular chloride channel protein
TIGR00863	cation transporter protein
TIGR00864	polycystin cation channel protein
TIGR00865	apoptosis regulator
TIGR00867	degenerin
TIGR00868	calcium-activated chloride channel protein 1
TIGR00869	protein translocation protein, Sec62 family
TIGR00870	transient-receptor-potential calcium channel protein
TIGR00871	glucose-6-phosphate dehydrogenase
TIGR00872	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00874	transaldolase
TIGR00875	fructose-6-phosphate aldolase
TIGR00876	transaldolase
TIGR00877	phosphoribosylamine--glycine ligase
TIGR00878	phosphoribosylformylglycinamidine cyclo-ligase
TIGR00879	MFS transporter, sugar porter (SP) family
TIGR00880	multidrug resistance protein
TIGR00881	phosphoglycerate transporter family protein
TIGR00882	oligosaccharide:H+ symporter
TIGR00883	MFS transporter, metabolite:H+ symporter (MHS) family protein
TIGR00884	GMP synthase (glutamine-hydrolyzing), C-terminal domain
TIGR00885	L-fucose:H+ symporter permease
TIGR00886	nitrite transporter
TIGR00887	phosphate:H+ symporter
TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain
TIGR00889	nucleoside transporter
TIGR00890	oxalate/formate antiporter family transporter
TIGR00891	MFS transporter, sialate:H+ symporter (SHS) family
TIGR00892	monocarboxylate transporter
TIGR00893	D-galactonate transporter
TIGR00894	Na(+)-dependent inorganic phosphate cotransporter
TIGR00895	MFS transporter, aromatic acid:H+ symporter (AAHS) family
TIGR00896	cyanate transporter
TIGR00897	polyol permease
TIGR00898	cation transport protein
TIGR00899	sugar efflux transporter
TIGR00900	H+ Antiporter protein
TIGR00901	AmpG-like permease
TIGR00902	MFS transporter, phenyl propionate permease (PPP) family
TIGR00903	major facilitator 4 family protein
TIGR00904	cell shape determining protein, MreB/Mrl family
TIGR00905	transporter, basic amino acid/polyamine antiporter (APA) family
TIGR00906	cationic amino acid transport permease
TIGR00907	amino acid permease
TIGR00908	ethanolamine permease
TIGR00909	amino acid transporter
TIGR00910	glutamate:gamma-aminobutyrate antiporter
TIGR00911	L-type amino acid transporter
TIGR00912	spore germination protein (amino acid permease)
TIGR00913	amino acid permease (yeast)
TIGR00914	heavy metal efflux pump, CzcA family
TIGR00915	RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
TIGR00916	protein-export membrane protein, SecD/SecF family
TIGR00917	Niemann-Pick C type protein family
TIGR00918	transmembrane receptor Patched
TIGR00920	3-hydroxy-3-methylglutaryl-coenzyme A reductase
TIGR00921	efflux transporter, putative, hydrophobe/amphiphile efflux-3 (HAE3) family
TIGR00922	transcription termination/antitermination factor NusG
TIGR00924	amino acid/peptide transporter (Peptide:H+ symporter)
TIGR00926	oligopeptide transporter, peptide:H+ symporter
TIGR00927	K+-dependent Na+/Ca+ exchanger
TIGR00928	adenylosuccinate lyase
TIGR00929	type IV secretion/conjugal transfer ATPase, VirB4 family
TIGR00930	K-Cl cotransporter
TIGR00931	Na+/H+ antiporter NhaC
TIGR00932	transporter, monovalent cation:proton antiporter-2 (CPA2) family
TIGR00933	potassium uptake protein, TrkH family
TIGR00934	potassium uptake protein, Trk family
TIGR00935	arsenite/antimonite efflux pump membrane protein
TIGR00936	adenosylhomocysteinase
TIGR00937	chromate efflux transporter
TIGR00938	homoserine kinase
TIGR00939	nucleoside Transporter
TIGR00940	monovalent cation:proton antiporter
TIGR00941	multicomponent Na+:H+ antiporter, MnhC subunit
TIGR00942	multicomponent Na+:H+ antiporter
TIGR00943	monovalent cation:proton antiporter
TIGR00944	multicomponent K+:H+antiporter
TIGR00945	twin arginine-targeting protein translocase TatC
TIGR00946	auxin efflux carrier
TIGR00947	putative bicarbonate transporter, IctB family
TIGR00948	L-lysine exporter
TIGR00949	homoserine/Threonine efflux protein
TIGR00950	carboxylate/amino acid/amine transporter
TIGR00951	lysosomal Cystine Transporter
TIGR00952	ribosomal protein S15
TIGR00954	peroxysomal long chain fatty acyl transporter
TIGR00955	pigment precursor permease
TIGR00956	pleiotropic drug resistance family protein
TIGR00957	multi drug resistance-associated protein (MRP)
TIGR00958	antigen peptide transporter 2
TIGR00959	signal recognition particle protein
TIGR00962	ATP synthase F1, alpha subunit
TIGR00963	preprotein translocase, SecA subunit
TIGR00964	preprotein translocase, SecE subunit
TIGR00965	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR00966	protein-export membrane protein SecF
TIGR00967	preprotein translocase, SecY subunit
TIGR00968	sulfate ABC transporter, ATP-binding protein
TIGR00969	sulfate ABC transporter, permease protein
TIGR00970	2-isopropylmalate synthase
TIGR00971	sulfate ABC transporter, sulfate-binding protein
TIGR00972	phosphate ABC transporter, ATP-binding protein
TIGR00973	2-isopropylmalate synthase
TIGR00974	phosphate ABC transporter, permease protein PstA
TIGR00975	phosphate ABC transporter, phosphate-binding protein PstS
TIGR00976	hydrolase CocE/NonD family protein
TIGR00977	2-isopropylmalate synthase/homocitrate synthase family protein
TIGR00978	aspartate-semialdehyde dehydrogenase
TIGR00979	fumarate hydratase, class II
TIGR00980	mitochondrial import inner membrane translocase subunit tim17
TIGR00981	ribosomal protein S12
TIGR00982	ribosomal protein S23 (S12)
TIGR00983	mitochondrial import inner membrane translocase subunit
TIGR00984	mitochondrial import inner membrane, translocase subunit
TIGR00985	mitochondrial import receptor subunit
TIGR00986	mitochondrial import receptor subunit
TIGR00987	integration host factor, alpha subunit
TIGR00988	integration host factor, beta subunit
TIGR00989	mitochondrial import receptor subunit
TIGR00990	mitochondrial precursor proteins import receptor
TIGR00991	GTP-binding protein
TIGR00992	chloroplast envelope protein translocase, IAP75 family
TIGR00993	chloroplast protein import component Toc86/159, G and M domains
TIGR00994	chloroplast protein import component, Tic20 family
TIGR00995	chloroplast protein import component, Tic22 family
TIGR00996	virulence factor Mce family protein
TIGR00997	intracellular septation protein A
TIGR00998	efflux pump membrane protein
TIGR00999	membrane fusion protein cluster 2 protein
TIGR01000	bacteriocin secretion accessory protein
TIGR01001	homoserine O-succinyltransferase
TIGR01002	beta-channel forming cytolysin
TIGR01003	phosphocarrier, HPr family
TIGR01004	lipoprotein, PulS/OutS family
TIGR01005	exopolysaccharide transport protein family
TIGR01006	polysaccharide export protein, MPA1 family
TIGR01007	capsular exopolysaccharide family
TIGR01008	ribosomal protein S3
TIGR01009	ribosomal protein S3
TIGR01010	polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
TIGR01011	ribosomal protein S2
TIGR01012	ribosomal protein S2
TIGR01013	sodium-dependent inorganic phosphate (Pi) transporter
TIGR01015	homogentisate 1,2-dioxygenase
TIGR01016	succinate-CoA ligase, beta subunit
TIGR01017	ribosomal protein S4
TIGR01018	ribosomal protein S4
TIGR01019	succinate-CoA ligase, alpha subunit
TIGR01020	ribosomal protein S5
TIGR01021	ribosomal protein S5
TIGR01022	ribosomal protein L36
TIGR01023	ribosomal protein L33
TIGR01024	ribosomal protein L19
TIGR01025	ribosomal protein S19
TIGR01026	ATPase, FliI/YscN family
TIGR01027	glutamate 5-kinase
TIGR01028	ribosomal protein S7
TIGR01029	ribosomal protein S7
