UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-12203	adenine phosphoribosyltransferase
ENZRXN-20776	(R)-mandelonitrile lyase
ENZRXN-13469	flavin:NADH reductase
ENZRXN-15389	methanesulfonate monooxygenase
ENZRXN-18307	flavonoid 3',5'-hydroxylase
ENZRXN-20379	&beta;-carotene isomerooxygenase
ENZRXN-15983	phosphoglycerate mutase
ENZRXN-20512	10-deacetylbaccatin III-10-O-acetyl transferase
ENZRXN-9705	castasterone synthase
ENZRXN-18761	&beta;-cyanoalanine synthase
ENZRXN-16968	adrenaline <i>O</i>-methyltransferase
URA-PHOSPH-ENZRXN	uracil phosphorylase
ENZRXN8J2-721	arabinogalactan endo-1,4-&beta;-galactosidase
ENZRXN-18585	3,5-diiodothyronamine 5-deiodinase
ENZRXN-15621	chlorobenzene dioxygenase
ENZRXN-18129	anhydrorhodovibrin hydratase
ENZRXN66-4128	24,25-dihydrolanosterol,NADPH:oxygen oxidoreductase
ENZRXN-17635	alcohol dehydrogenase
ENZRXN-20161	3-isopropylcatechol-1,2-dioxygenase
ENZRXN-13780	propan-2-ol:NADP+ oxidoreductase
ENZRXN-13914	D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate; acetyl-phosphate-forming)
ENZRXN-6410	kinetin UDP glycosyltransferase
ENZRXN-18965	cellulase
ENZRXN-901	proline racemase
ENZRXN-19669	cholesterol C26-monooxygenase
ENZRXN-12932	abscisic acid 8'-hydroxylase
ENZRXN-5764	avenasterol-desaturase
ENZRXN-3061	glutamate dehydrogenase (NADP-dependent)
ENZRXN-17037	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase
ENZRXN-19419	pyrrolizidine alkaloid N-oxygenase
ENZRXN-4002	methanol dehydrogenase
ENZRXN-19989	(-)-borneol dehydrogenase
ENZRXN66-1207	phosphoglycerate mutase
ENZRXN66-239	steroid Delta-isomerase
ENZRXN3O-1078	<i>N</i>-acetyl-&gamma;-glutamyl-phosphate reductase
ENZRXN-11746	&gamma;-glutamyl kinase
ENZRXN-20840	cysteine-<i>S</i>-4-hydroxy-2-nonenal <i>N</i>-acetyltransferase
ENZRXN-13361	Enzyme II<sup>scr</sup>
ENZRXN0-6543	anthranilate phosphoribosyl transferase
ENZRXN1G-274	cis-delta19-C38:1-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-19029	5&alpha-dihydrotestosteron reductase
ENZRXN-12539	chalcone synthase
ENZRXN-21516	vanillate:hexaprenyl-diphosphate hexaprenyltransferase
ENZRXN-13073	thiosulphate:quinone oxidoreductase
ENZRXN-13554	(<i>E</i>,<i>E</i>)-&alpha;-farnesene synthase
ENZRXN3O-4149	decarboxylase
ENZRXN-10721	S-adenosyl-L-methionine:methylarsonite As-methyltransferase
ENZRXN-16273	2-hydroxymuconate tautomerase
ENZRXN-15515	9,10-dihydroxystearate hydroxylase
ENZRXN-7121	linamarase
ENZRXN-20912	(D)-2-hydroxyacid dehydrogenase (NADP+)
GLYCEROL-KIN-ENZRXN	glycerol kinase
ENZRXN-16059	3-dehydroquinate dehydratase
ENZRXN-16908	pyruvate decarboxylase
ENZRXN0-7406	sedoheptulose bisphosphate aldolase
ENZRXN-12846	methylated MtbC protein:CoM methyltransferase
ENZRXN-15700	2-chloro-<I>cis</I>-dienelactone hydrolase
DTDPGLUCDEHYDRAT2-ENZRXN	dTDP-glucose 4,6-dehydratase
ENZRXN-19557	thiamin-phosphate diphosphorylase
ENZRXN-12275	keto-isocaproate decarboxylase
ENZRXN-7701	tryptophan dioxygenase
ENZRXN-18380	tRNA cytosine<sup>49</sup>-<i>C</i><sup>5</sup>)-methyltransferase
ENZRXN-14214	3-hydroxyanthranilate 3,4-dioxygenase
ENZRXN-17718	NAD(+)--diphthamide ADP-ribosyltransferase
ENZRXN-18895	9,9'-di-<i>cis</i>-&zeta;-carotene desaturase
ENZRXN-18207	dehydroprephenate dehydratase
METG-ENZRXN	methionyl-tRNA synthetase
ENZRXN-12960	delphinidin 3-<i>O</i>-glucoside 2''-<i>O</i>-glucosyltransferase
ENZRXN-14274	6-pyruvoyl tetrahydrobiopterin synthase
ENZRXN-14937	glutamyl-tRNA<sup>Gln</sup> synthetase
ENZRXN-19754	dTDP-4-amino-4,6-dideoxy-<small>D</small>-glucose transaminase
ENZRXN-12130	stilbene synthase
ENZRXN-18649	estradiol-17&beta; dehydrogenase / estrone reductase
ENZRXN-20228	hexadeca-3,6,9,12-tetraene-16-oyl-CoA hexadeca-3,6,9,12-tetraene-16-oate transferase
ENZRXN-16566	[thyroglobulin]-3,5,3'-triiodo-L-thyronine hydrolase
ENZRXN-6944	sabinene synthase
ENZRXN-17849	guanine phosphoribosyltransferase
ENZRXN0-2882	<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-[acp]:NAD+ oxidoreductase
ENZRXN-20049	furoyl-CoA synthetase
ENZRXN0-6595	c-di-GMP phosphodiesterase
ENZRXN-16635	(E)-beta-caryophyllene synthase
FADSYN-ENZRXN	FMN adenylyltransferase
5-NUCLEOTID-ENZRXN	5'-ribonucleotidase
ENZRXN-18520	4&alpha;-hydroxymethyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol-4&alpha;-methyl oxidase
ENZRXN-609	UDPG:coniferyl alcohol glucosyltransferase
ENZRXN-14157	propylene,NADH:oxygen oxidoreductase
ENZRXN-4304	enolase
ENZRXN-21725	2-dehydropantoate 2-reductase
ENZRXN-20425	malate-oxaloacetate antiporter
GTP-CYCLOHYDRO-I-ENZRXN	GTP cyclohydrolase
ENZRXN-1502	5-methylthioribose-1-phosphate isomerase
ENZRXN-3367	4-carboxymuconolactone decarboxylase
ENZRXN-20490	chanoclavine-I aldehyde dehydrogenase
ENZRXN-16473	indole-3-acetyl-valine synthetase
ENZRXN0-2467	23S rRNA pseudouridine synthase
ENZRXN0-5481	purine nucleoside phosphoramidase
ENZRXN-11910	nitrile hydratase
ENZRXN-5289	tetrachloroethene-reductive dehalogenase
ENZRXN1G-533	octanoyl-[acp] reductase
ENZRXN-13617	(+)-&delta;-cadinene synthase
ENZRXN-17747	methylthioalkylmalate synthase
ENZRXN-13826	(E)-cinnamoyl-CoA:serotonin cinnamoyl transferase
ENZRXN-13893	myo-inosose-2 dehydratase
ENZRXN-17304	arabinogalactan &alpha;(1-->5) arabinofuranosyltransferase
ENZRXN-13443	benzalacetone reductase
ENZRXN-20365	L-tryptophan oxidase
ENZRXN-15179	stearoyl-CoA hydrolase
ENZRXN66-6859	pregnenolone 3-dehydrogenase
ENZRXN-13163	raffinose synthase
ENZRXN1G-1377	cis,cis-delta3,21-C402:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN0-3701	tryptophan synthase
ENZRXN-16129	&gamma;-glutamylhistamine synthetase
ENZRXN5F9-3231	phthalate 3,4-dioxygenase
ENZRXN-15768	carnitine-acylcarnitine translocase
ENZRXN3O-924	serine hydroxymethyltransferase
ENZRXN-21171	isorhamnetin 3-<i>O</i>-methyltransferase
ENZRXN-13758	methylglyoxal reductase
ENZRXN-15596	cyclohexanol dehydrogenase
ENZRXN-17443	&beta;-alanine synthase
ENZRXN-15061	(1'<i>S</i>,5'<i>R</i>)-hydroxyaverantin synthase
ENZRXN-10542	ubiquinol:oxidized ferroprotein (Fe III) oxidoreductase
ENZRXN-17210	vibriobactin synthase
ENZRXN0-7548	GTPase
ENZRXN-15994	2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate-9-phosphate synthase
ENZRXN-1827	indole-3-acetonitrile nitrilase
ENZRXN-19826	sitosterol dehydrogenase
ENZRXN-1021	trithionate hydrolase
ENZRXN-19971	lipoate adenylyl transferase
ENZRXN-19232	cellulose 1,4-&beta;-cellobiosidase
ENZRXN-14563	nicotinamide mononucleotide adenylyltransferase
ENZRXN-19645	lithocholate dehydrogenase
ENZRXN-17338	salicyl-AMP ligase
ENZRXN-12253	fructose-1,6-bisphosphate aldolase
ENZRXN-21088	3,7,4'-trimethylquercetin 3'-<i>O</i>-methyltransferase
PHENPRODIOLDEHYDROG-ENZRXN	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
ENZRXN-18140	laccase
ENZRXN-20119	fatty acyl-CoA elongase
ENZRXN3O-4110	dADP kinase
ALPHAGALACTOSID-ENZRXN	&alpha;-galactosidase
ENZRXN-21314	CTP phosphatase
ENZRXN-12187	guanosine kinase
ENZRXN-21202	trans-cinnamate:CoA ligase
ENZRXN-20765	N-hydroxy-L-tyrosine NADPH: oxygen oxidoreductase (N-hydroxylating)
ENZRXN-1167	isocitrate dehydrogenase
ENZRXN-18628	4&alpha;-carboxy,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol dehydrogenase/C4-decarboxylase
DIOHBUTANONEPSYN-ENZRXN	3,4-dihydroxy-2-butanone 4-phosphate synthase
ENZRXN-8625	CDP-choline:1,2-diacyl-sn-glycerol cholinephosphotransferase
ENZRXN-12657	anthocyanidin 3-O-glucosyltransferase
ENZRXN-17928	UDP-galactose/glucose pyrophosphorylase
ENZRXN-3122	diaminobutyrate acetyltransferase
ENZRXN-3721	sulfoacetaldehyde acetyltransferase
ENZRXN-11977	gibberellin A20,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-14595	phloroglucinol <i>O</i>-methyltransferase
ENZRXN-18567	raffinose galactohydrolase
ENZRXN-6043	isoflavone reductase
ENZRXN8J2-3061	kanosamine-6-phosphate phosphatase
ENZRXN-13046	vomilenine reductase
ENZRXN-12118	dihydrogeranylgeranyl-PP reductase
ENZRXN-14736	geraniol synthase
ENZRXN-14479	acetyl-CoA acetyltransferase
ENZRXN-2321	&gamma;-hexachlorocyclohexane dehydrochlorinase
ENZRXN-13372	ATP-phosphoribosyl  transferase
ENZRXN-20798	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose transaminase
ENZRXN-13511	sibirene synthase
ENZRXN1G-4384	cerotoyl-CoA carboxylase
ENZRXN-13225	1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase
ENZRXN-5582	cycloeucalenol cycloisomerase
ENZRXN-8986	glycerol-3-phosphate cytidylyltransferase
ENZRXN-18506	1-oxo-2-phosphorylethylphosphonate transaminase
ENZRXN0-7374	RNase T exonuclease
ENZRXNQT-12522	5-methylthiopentylglucosinolate S-oxygenase
ENZRXNDQC-131724	L-tryptophan:pyruvate aminotransferase
ENZRXN-16106	&omega;,<i>E,E,E</i>-geranyl-geranyl diphosphate synthase
ENZRXN-16815	serotonin sulfotransferase
ENZRXN0-6212	dUTP pyrophosphohydrolase
ENZRXN-15528	indole-3-acetate carboxyl methyltransferase
ENZRXN-15660	1,4-dichlorobenzene dihydrodiol dehydrogenase
ENZRXN0-7674	amylomaltase
ENZRXN1G-178	6-O-trans-methoxy-mycolyl-trehalose-6-phosphate phosphohydrolase
ENZRXN-5266	L-ascorbate peroxidase
ENZRXN-9702	brassinolide synthase
ENZRXN66-2289	thymidylate synthase
LTARTDEHYDRA-ENZRXN	L-tartrate dehydratase
ENZRXN-9182	fructokinase
ENZRXN-18249	fluoroacetaldehyde dehydrogenase
ENZRXN-20683	dTDP-glucose 4,6-dehydratase
ENZRXN-15271	oleoyl-CoA hydrolase
ENZRXN-19568	endochitinase
ENZRXN-19716	3-oxo-23,24-bisnorchol-4-en-22-CoA 9&alpha;-hydroxylase
ENZRXN1G-1175	trehalose-trans-keto-mycolate:trehalose-trans-keto-mycolate 6-mycolyltransferase
RIBONUCLEOSIDE-DIP-REDUCTII-ENZRXN	ribonucleoside-diphosphate reductase
ENZRXN66-4101	5&alpha;-cholest-7-en-3&beta;-ol,NAD(P)H:oxygen 5-oxidoreductase
ENZRXN-16042	potassium transporter
ENZRXN66-2577	2,3,4-saturated fatty acyl-[acp] reductase
ENZRXN-12530	coumaroyl-CoA:malonyl-CoA acyltransferase
ENZRXN-17823	2-ketoarginine:SAM methyltransferase
ENZRXN-20099	NADPHX epimerase
ENZRXN-15980	pyruvate synthase
ENZRXN-14070	GTP:adenosylcobinamide-phosphate guanylyltransferase
ENZRXN-17034	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase
ENZRXN-17532	phellandrene synthase
ENZRXN-12974	tetrahydroprotoberberine-cis-N-methyltransferase
ENZRXN-11871	ornithine aminotransferase
ENZRXN-17991	p-aminobenzoylglutamate hydrolase
ENZRXN-12561	cannabidiolate synthase
ENZRXN-18186	matrix metalloproteinase
ENZRXN-361	coB-coM heterodisulfide reductase
ENZRXN-16899	(<i>22R,23R</i>)-28-homocastasterone-O-sulfotransferase
ENZRXN-21698	(3<em>R</em>)-3-hydroxybutanoyl-[acyl-carrier-protein] dehydrase
ENZRXN-18126	1-hydroxylycopene 3,4-desaturase
ENZRXN-19025	cellulase
ENZRXN66-19619	4S-hydroperoxy,17S-H-DHA synthase
ENZRXN-19321	zerumbone synthase
ENZRXN0-6613	GTPase
ENZRXN-16928	3-O-methylgallate:oxygen 4,5-oxidoreductase
ENZRXN-13120	kaempferol-3-rhamnoside-glucosyltransferase
ENZRXN-13488	palustradiene synthase
ENZRXN-2564	(S)-2-hydroxy-2-phenylacetate:acceptor 2-oxidoreductase
ENZRXN-20028	D-ornithyl-<i>N</i>&epsilon;-L-lysine synthase
ENZRXN-18886	<i>S</i>-methyl-5'-thioadenosine deaminase
ENZRXN-302	sulfate adenylyltransferase
ENZRXN0-4961	ribonuclease
ENZRXN-20909	linalyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Assam)
ENZRXN-18918	4,4'-diapophytofluene desaturase
ENZRXN-1564	sulfate adenylyltransferase
ENZRXN-1145	cyclohexanecarboxyl-CoA dehydrogenase
ENZRXN-21417	dCTP diphosphatase
H2PTEROATESYNTH-ENZRXN	dihydropteroate synthase
ENZRXN0-7454	NADPH-dependent curcumin reductase
ENZRXN0-6300	exonuclease VII
ENZRXN-330	phosphate acetyltransferase
ENZRXN-15512	9,10-epoxystearate hydroxylase
ENZRXN-7681	2,7,4'-trihydroxyisoflavanone-4'-O-methyltransferase
ENZRXN-6935	&beta;-pinene synthase
ENZRXN-15150	1-acylglycerol-3-phosphate acyltransferase
ENZRXN-6984	daidzein,NADPH:oxygen oxidoreductase (2-hydroxylating)
ENZRXN-19690	neurosporene hydratase
ENZRXN-12445	UDP-D-apiose synthase
ENZRXN-12755	antheraxanthin epoxidase
ENZRXN-17758	methylthioalkylmalate isomerase
OCTPRNL-METHYL-METHOXY-BENZOQ-OH-ENZRXN	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase
ENZRXN-19553	wax ester synthase
ENZRXN-15357	(2R,3S)-catechin:NADP+ 4-oxidoreductase
ENZRXN-14271	deacetoxycephalosporin C synthase
ENZRXN-1342	citramalate lyase
ENZRXN-14177	cysteate decarboxylase
ENZRXN-14148	gluconolactonase
ENZRXN-17420	hemoglobin aspartic proteinase
ENZRXN-11847	ornithine succinyltransferase
ENZRXN-21623	IscA iron-sulfur cluster assembly protein
ENZRXN-18803	tetraketide &alpha;-pyrone reductase
ENZRXN-16632	3,5,3'-triiodo-L-thyronine phenol UDP-glucuronosyltransferase
ENZRXN-14835	3-demethylubiquinone-9 3-<i>O</i>-methyltransferase
ENZRXN-21635	succinyl-CoA:acetate CoA-transferase
ENZRXN-1789	phospholipase D
ENZRXN-17604	cinnamate:CoA ligase
ENZRXN-16499	[thyroglobulin]-triiodothyronine synthase
ENZRXN-15578	aminobenzoate-CoA ligase
ENZRXN-13093	putrescine N-methyltransferase
ENZRXN-16465	indole-3-acetyl-phenylalanine synthetase
ENZRXN-19206	<i>all-trans</i>-&zeta;-carotene desaturase
ENZRXN-12957	5-aminovalerate transaminase
ENZRXN-20487	chanoclavine-I synthase oxidoreductase
ENZRXN-6521	1-deoxycapsidiol 1-hydroxylase
ENZRXNQT-6204	<i>ent</i>-copalyl diphosphate synthase
ENZRXN0-3901	undecaprenyl pyrophosphate phosphatase
ENZRXN-20384	2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase
ENZRXN-21769	3-oxo-(11Z)-eicos-11-enoyl-CoA reductase
ENZRXN0-7424	polynucleotide 5' adenylyl transferase
ENZRXN-19395	homophytochelatin synthase
ENZRXN-19629	nitric oxide reductase
ENZRXN-20356	phosphatidate kinase
ENZRXN0-6592	diguanylate cyclase
ENZRXN-21279	CTP triphosphatase
ENZRXN-13889	aspartate aminotransferase
ENZRXN-13785	lipoamide dehydrogenase
NAD-SYNTH-GLN-ENZRXN	NAD+ synthetase, glutamine dependent
ENZRXN3O-1260	homo-isocitrate dehydrogenase
ENZRXN0-1102	fructoselysine 6-kinase
ENZRXN-15073	versiconal hemiacetal acetate reductase
ENZRXN0-6147	peptidyl-prolyl <i>cis-trans</i> isomerase
ENZRXN-21487	yeast adrenodoxin homolog
ENZRXN-11575	nitric-oxide synthase
GSPAMID-ENZRXN	glutathionylspermidine amidase
ENZRXN5F9-2631	3,4-dihydroxyphthalate decarboxylase
ENZRXN-5204	inositol-1-phosphate synthase
ENZRXN-12631	dihydropteridine reductase
ENZRXN-19994	trehalose-6-phosphate phosphatase
ENZRXN-1787	phospholipase A2
ENZRXN-16375	indole-3-acetyl-valine synthetase
ENZRXN66-549	fumarate hydratase
ENZRXN-17352	salicyl-AMP transferase
ENZRXN-15223	&beta;-ketododecanoyl-[acp] synthase
ENZRXN-17744	L-glyceraldehyde reductase
ENZRXN-12823	benzaldehyde:oxygen oxidoreductase
ENZRXN-10521	ubiquinol:oxidized ferroprotein (Fe III) oxidoreductase
ENZRXN-13027	&beta;-ring carotenoid 3-hydroxylase
ENZRXN-13748	fructose-1-phosphate aldolase
ENZRXN3O-4171	isobutanol dehydrogenase
ENZRXN-14690	1,4-&beta;-D-xylan synthase
ENZRXN-21748	4-hydroxyphenylpyruvate carboxy-lyase
ENZRXN0-3481	transport and phosphorylation of L-ascorbate
ENZRXN-20277	triterpene methyltransferase
ENZRXN-12249	tiglyl-CoA hydrase
ENZRXN-17120	inositol-1,3,4,5tetrakisphosphate 5-phosphatase
ENZRXN-21213	kaempferol 3-<i>O</i>-glucoside 6"-<i>O</i>-coumaroyltransferase
ENZRXN-17486	(-)-(4S)-Limonene-6-hydroxylase
ENZRXN-14905	homospermidine synthase
DTMPKI-ENZRXN	dTMP kinase
ENZRXN0-7348	L-cysteine desulfhydrase
ENZRXN0-5781	NADH pyrophosphatase
ENZRXN-19962	oligoalginate lyase
ENZRXNQT-12490	UDP-glucose: 6-methylthiohexylhydroximate S-glucosyltransferase
ENZRXN-15058	molybdopterin adenylyltransferase
ENZRXN-18625	4&alpha;-hydroxymethyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol-4&alpha;-methyl oxidase
ENZRXN-4621	glycerol dehydratase
ENZRXN-19113	raffinose &alpha;-galactosidase
ENZRXN-12571	zeinoxanthin &epsilon;-monooxygenase
ENZRXN-12135	pinosylvin-3-O-methyltransferase
ENZRXN-19275	lyso-ornithine lipid <i>O</i>-acyltransferase
ENZRXN-15198	thalian-diol desaturase
ENZRXNQT-9696	lupeol synthase
KDOTRANS2-ENZRXN	KDO transferase
ENZRXN3O-325	phoshatidylinositol-3-phosphate 5-kinase
ENZRXN-17335	isochorismate synthase
ENZRXN-9625	methionine synthase
ENZRXN-604	gibberellin A9,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-18525	nerol dehydrogenase
ENZRXN-17462	curcumin synthase
ENZRXN-13655	UDP-glucuronic acid: cyclo-DOPA 5-glucoside glucuronosyltransferase
ENZRXN-20999	quercetin gentiotrioside 1,6-glucosyltransferase
ENZRXN-14613	3,5-dimethoxyphenol <i>O</i>-methyltransferase
ENZRXN-21364	5-fluorocytosine deaminase
ENZRXN0-2061	diadenosine tetraphosphatase
ENZRXN-17806	CYP83A1 7-methylthioheptanaldoxime monooxygenase
ENZRXN-21199	pimelyl-[acyl-carrier protein] methyl ester esterase
ENZRXN1G-434	cis-delta11-3-oxo-C30:1-[acp] reductase
DIHYDROFOLATESYNTH-ENZRXN	dihydrofolate synthetase
ENZRXN66-3929	5'-hydroxycotinine synthetase
ENZRXN-5294	trichloroethene reductive dehalogenase
ENZRXN-19253	&alpha;-agarase
ENZRXN-15814	cytidine monophosphate kinase
ENZRXN-8032	sinapate-1-glucosyltransferase
ENZRXNIO2-2045	zeaxanthin epoxidase
ENZRXN-12710	4-coumarate coenzyme A ligase
ENZRXN-14592	choline-phosphate cytidylyltransferase
ENZRXN66-6833	LTC4 &gamma;-glutamyl transferase
ENZRXN-16103	acetyl-CoA <i>C</i>-acetyltransferase
ENZRXN-21680	cyanidin 3-<i>O</i>-glucosyltransferase
ENZRXN-12096	L-sorbitol dehydrogenase
ENZRXN1G-1384	cis,cis-delta13,31-C50:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-17003	phosphatidylinositol 3,5-bisphosphate 5-phosphatase
ENZRXN-21340	8C-naringenin dibenzoylmethane tautomer glucosyltransferase
ENZRXN-20795	1,4-beta-cellobiohydrolase
ENZRXN-19878	dimethylamine monooxygenase
ENZRXN-18246	5'-fluoro-5'-deoxy-adenosine phosphorylase
ENZRXN-14376	hydroxy-chlorophyll(ide) <i>a</i> reductase
ENZRXN-9262	fructose-1,6-phosphate aldolase
ENZRXN-14791	UDP reductase
ENZRXN-17184	thioredoxin reductase
ENZRXN-16	L-2,4-diaminobutyrate decarboxylase
ENZRXN0-4621	chromate reductase
ENZRXN-17872	enoylpimeloyl-[acp] methyl ester reductase
ENZRXN-13351	&delta;-cuprenene synthase
ENZRXN-19001	<i>trans</i>-2-hexenal reductase
ENZRXNCEQ-3312	dihydrolipoamide dehydrogenase
ENZRXN-20096	2-amino-5-carboxymuconic 6-semialdehyde deaminase
BRANCHED-CHAINAMINOTRANSFERILEU-ENZRXN	isoleucine transaminase
ENZRXN-16725	selenocysteine synthase
ENZRXN66-2674	phosphatidylinositol-4,5-bisphosphate 5-phosphatase
ENZRXN-18146	indole-3-acetaldoxime dehydratase
ENZRXNQT-16347	starch synthase
ENZRXN-21751	tyrosol:NAD+oxidoreductase
ENZRXN-21062	pyruvate formate lyase activating enzyme
ENZRXN-15124	3-amino-5-hydroxybenzoate synthase
ENZRXN-18498	protein-fructosamine 3-kinase
ENZRXN-9162	UDP-galactose pyrophosphorylase
ENZRXN-20881	malate dehydrogenase (NADP)
ENZRXN-3586	muconate cycloisomerase
ENZRXN-3142	taurine:pyruvate aminotransferase
ENZRXN0-5822	ADP-sugar pyrophosphorylase
ENZRXN-12018	geranylgeranyl pyrophosphate synthase
ENZRXN-20591	patchoulene synthase
ENZRXN-16939	5,5'-dehydrodivanillate <i>O</i>-demethylase
ENZRXN-9861	D-inositol-3-phosphate glycosyltransferase
ENZRXN-8483	N-dimethylethanolamine N-methyltransferase
ENZRXN-17402	FAD-dependent urate hydroxylase
ENZRXN66-2554	&alpha;-<i>N</i>-acetylgalactosaminidase
ENZRXN-13485	abietadiene synthase
ENZRXN1G-1164	trehalose-cis-keto-mycolate:trehalose-cis-keto-mycolate 6-mycolyltransferase
ENZRXN-7501	3,9-dihydroxypterocarpan 6a-monooxygenase
ENZRXN-13379	imidazoleglycerolphosphate dehydratase
ENZRXN-15201	palmitoyl elongase
ENZRXN-13266	1-18:3-2-18:2-monogalactosyldiacylglycerol desaturase
ENZRXN-13980	4-imidazolonase
ENZRXN-18931	phosphoenolpyruvate carboxykinase
ENZRXN66-464	dimethylallyltransferase
ENZRXN-12558	4-hydroxyphenylpyruvate dioxygenase
ENZRXN-14455	L-2-aminopropionaldehyde:NAD(P)+ oxidoreductase
ENZRXN-15637	1,3-dichlorobenzene <I>cis</I>-dihydrodiol dehydrogenase
ENZRXN-19187	10-<i>epi</i>-&gamma;-eudesmol synthase
ENZRXN-15967	UDP-2-acetamido-2,6-dideoxy-&beta;-L-arabino-hex-4-ulose aminotransferase
ENZRXN-15533	UDP-glucose:sterol 3-O-glucosyltransferase
ENZRXN-14247	taxadiene synthase
ENZRXN-17465	bisdemethoxycurcumin syntase
ENZRXN-16925	3-<i>O</i>-methylgallate:oxygen 4,5-oxidoreductase (decyclizing)
ENZRXN-18418	<i>N,N</i>-dihydroxy-L-valine decarboxylase
ENZRXN-19688	xyloglucanendohydrolase
ENZRXN66-1680	glycogen phosphorylase
ENZRXN-7003	(-)-menthol:NADP+ oxidoreductase
ENZRXN-17077	inositol-6-phosphate monophosphatase
ENZRXN-16794	<i>N<sup>1</sup></i>,<i>N<sup>12</sup></i>-diacetylspermidine oxidase
ENZRXN-19575	methylbutenol synthase
ENZRXN-21258	quercetin 3-gentiobioside 7-<i>O</i>-rhamnosyltransferase
ENZRXN-19256	neoagarotetraose 1,3-&alpha;-3,6-anhydro-L-galactosidase
ENZRXN-18117	Mn(III) oxidase
ENZRXN-16605	L-serine-phosphatidylethanolamine phosphatidyltransferase
ENZRXN-18915	hydrogenase
ENZRXN-11832	willardiine synthase
ENZRXN0-962	protein-methionine-S-oxide reductase
ENZRXN-11061	respiratory arsenate reductase
ENZRXN-14188	&delta;-(L-&alpha;-aminoadipyl)-L-cysteinyl-D-valine synthetase
ENZRXN-12980	dihydrosanguinarine-10-hydroxylase
ENZRXN-19069	&beta;-peptidyl aminopeptidase
ENZRXN-21343	deoxynucleoside kinase
ENZRXN-20660	<i>O</i>-methylandrocymbine cytochrome P450 oxidase
ENZRXN-12615	(gibberellin-20),2-oxoglutarate:oxygen oxidoreductase (3&beta;-hydroxylating)
ENZRXN-3	dehydroshikimate dehydratase
ENZRXN-6981	(-)-menthol:NADP+ oxidoreductase
ENZRXN-20457	delta5 desaturase
ENZRXN-13089	putrescine N-methyltransferase
ENZRXN0-6619	tRNA m<sup>6</sup>A37 methyltransferase
ENZRXN-12688	4-hydroxyglutamate transaminase
ENZRXN-18034	glucuronylgalactosylproteoglycan 4-&beta;-<i>N</i>-acetylgalactosaminyltransferase
ENZRXN-12360	malate dehydrogenase
ENZRXN-16522	&alpha;-santalene synthase
ENZRXN-20957	quercetin-3-glucoside 7-<i>O</i>-glucosyltransferase
ENZRXN-14045	L-arabinitol 4-dehydrogenase
ENZRXN-14661	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
ENZRXN-14174	trimethylamine dehydrogenase
ENZRXN0-7421	tRNA (5-carboxymethylaminomethyluridine)-ribose methyltransferase
ENZRXN-15501	indole 1,2-dioxygenase
ENZRXN-13862	&beta;-glucogallin: 2-<i>O</i>-digalloyl-1,2,4,6-tetra-<i>O</i>-galloylglucose <i>O</i>-galloyltransferase
HISTALDEHYD-ENZRXN	histidinal dehydrogenase
ENZRXN-14762	autumnaline cytochrome P-450 oxidase
ENZRXN-2743	pyruvate:ferredoxin oxidoreductase
ENZRXN-18711	archaeosine synthase
ENZRXN-20396	premithramycin A3 methyltransferase
ENZRXN-7861	Phthalyl amidase
ENZRXN-16491	N1-acetylspermine oxidase
ENZRXN66-19227	1,25-dihydroxyvitamin D(3) 24-hydroxylase
NACMURLALAAMI1-ENZRXN	N-acetylmuramoyl-L-alanine amidase
ENZRXNQT-12407	long-chain-fatty-acid-CoA ligase
ENZRXN-19543	preflagellin peptidase
ENZRXN-17765	methylthioalkylmalate isomerase
ENZRXN4FS-11	acyl-acp:sn-glycerol-3-phosphate 1-O-acyltransferase
