"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
FERCYT	Fe (III) Reductase: G sulfurreducens	fe3[e] + focytcc[c] --> fe2[e] + ficytcc[c]	1	Transport		
FRUabc	D-fructose transport via ABC system	atp[c] + fru[e] + h2o[c] --> adp[c] + fru[c] + h[c] + pi[c]	2	Transport	Rfer_1901+Rfer_1903+Rfer_1902	FrcABC
GLCabc	D-glucose transport via ABC system	atp[c] + glc-D[e] + h2o[c] --> adp[c] + glc-D[c] + h[c] + pi[c]	3	Transport	"Rfer_1093, Rfer_1096, Rfer_1097, Rfer_1095"	YbgB+YbgD+YbgC+Gbp
GLCpts	D-glucose transport via PEP:Pyr PTS	glc-D[e] + pep[c] --> g6p[c] + pyr[c]	2	Transport	"Rfer_0602, Rfer_0601, Rfer_0603"	ManX+PtsH+PtsI
GLYCLTt2r	"glycolate transport via proton symport, reversible"	glyclt[e] + h[e] <==> glyclt[c] + h[c]	2	Transport		
ILEabc	L-isoleucine transport via ABC system	atp[c] + h2o[c] + ile-L[e] --> adp[c] + h[c] + ile-L[c] + pi[c]	2	Transport	"Rfer_0269+Rfer_1004+Rfer_1835+Rfer_1837+Rfer_1838+Rfer_1836, Rfer_2588+Rfer_1002+Rfer_2589+Rfer_2587+Rfer_2586"	"BrnQ, AzlCD"
Kt6	potassium transport in/out via proton symport	h[e] + k[e] <==> h[c] + k[c]	3	Transport	"Rfer_0764, Rfer_2542, Rfer_4238"	"KefC, KefC2, Kup1"
L-LACt2	L-lactate reversible transport via proton symport	h[e] + lac-L[e] <==> h[c] + lac-L[c]	2	Transport		
LEUabc	L-leucine transport via ABC system	atp[c] + h2o[c] + leu-L[e] --> adp[c] + h[c] + leu-L[c] + pi[c]	2	Transport	"Rfer_0269+Rfer_1004+Rfer_1835+Rfer_1837+Rfer_1838+Rfer_1836, Rfer_2588+Rfer_1002+Rfer_2589+Rfer_2587+Rfer_2586"	"BrnQ, AzlCD"
MG2abc	magnesium transport via ABC system	atp[c] + h2o[c] + mg2[e] --> adp[c] + h[c] + mg2[c] + pi[c]	3	Transport	Rfer_0493	MgtA2
MGt5	magnesium transport in/out via permease (no H+)	mg2[c] <==> mg2[e]	3	Transport	Rfer_3748	CorA2
MNabc	manganese transport via ABC system	atp[c] + h2o[c] + mn2[e] --> adp[c] + h[c] + mn2[c] + pi[c]	2	Transport	"Rfer_2052, Rfer_2053, Rfer_2051"	ZnuB+ZnuC+ZnuA
NH4t3	ammonium transport out via K+ antiport	k[c] + nh4[e] --> k[e] + nh4[c]	3	Transport	Rfer_0519	AmtB2
NIabc	nickel transport via ABC system	atp[c] + h2o[c] + ni2[e] --> adp[c] + h[c] + ni2[c] + pi[c]	2	Transport	"Rfer_0981, Rfer_1952, Rfer_1951, Rfer_0984, Rfer_3103"	NikE+NikD+NikA+NikB+NikC
NIt5	nickel transport in/out via permease (no H+)	ni2[c] <==> ni2[e]	3	Transport	Rfer_3748	CorA2
NO2t3	nitrite transport out via proton antiport	h[e] + no2[c] --> h[c] + no2[e]	3	Transport	Rfer_2790	NarK
NO3abc	nitrate transport via ABC system	atp[c] + h2o[c] + no3[e] --> adp[c] + h[c] + no3[c] + pi[c]	4	Transport	"Rfer_2555, Rfer_2554, Rfer_2556"	NrtB+NrtC+NrtA
O2t	O2 transport in via diffusion	o2[e] <==> o2[c]	4	Transport		
PIt6	phosphate transport in/out via proton symporter	h[e] + pi[e] <==> h[c] + pi[c]	3	Transport	Rfer_1399	PitA
PPA_1	inorganic diphosphatase (one proton translocation)	h2o[c] + ppi[c] --> h[e] + (2) pi[c]	3	Transport	Rfer_1472	Ppa1
PPAt6	propionate transport in/out via proton symport	h[e] + ppa[e] <==> h[c] + ppa[c]	4	Transport		
PROt5	L-proline:Na+ symporter	na1[e] + pro-L[e] <==> na1[c] + pro-L[c]	2	Transport	Rfer_2192	NaPt
RIBabc	D-ribose transport via ABC system	atp[c] + h2o[c] + rib-D[e] --> adp[c] + h[c] + pi[c] + rib-D[c]	3	Transport	"Rfer_3129, Rfer_0437, Rfer_3130, Rfer_0439, Rfer_0438, Rfer_3131"	"RbsB+RbsC+RbsA, RbsA1+RbsC1+RbsB1"
SULabc	sulfate transport via ABC system	atp[c] + h2o[c] + so4[e] --> adp[c] + h[c] + pi[c] + so4[c]	3	Transport	"Rfer_1761, Rfer_1759, Rfer_1781, Rfer_1760"	CysAP+CysW+CysP+CysT
TSULabc	thiosulfate transport via ABC system	atp[c] + h2o[c] + tsul[e] --> adp[c] + h[c] + pi[c] + tsul[c]	3	Transport	"Rfer_1761, Rfer_1759, Rfer_1781, Rfer_1760"	CysAP+CysW+CysP+CysT
URAt6	uracil transport in/out via proton symport	h[e] + ura[e] <==> h[c] + ura[c]	2	Transport	Rfer_0069	PyrP
VALabc	L-valine transport via ABC system	atp[c] + h2o[c] + val-L[e] --> adp[c] + h[c] + pi[c] + val-L[c]	2	Transport	"Rfer_0269+Rfer_1004+Rfer_1835+Rfer_1837+Rfer_1838+Rfer_1836, Rfer_2588+Rfer_1002+Rfer_2589+Rfer_2587+Rfer_2586"	"AzlCD, BrnQ"
ZN2abc2	zinc transport in via ABC system	atp[c] + h2o[c] + zn2[e] --> adp[c] + h[c] + pi[c] + zn2[c]	2	Transport	"Rfer_2052, Rfer_2053, Rfer_2051"	ZnuB+ZnuC+ZnuA
ZN2t4	zinc transport out via antiport	h[e] + k[e] + zn2[c] --> h[c] + k[c] + zn2[e]	3	Transport	Rfer_0413+Rfer_0412+Rfer_0411	CzcA3
ACt6	acetate transport in/out via proton symport	ac[e] + h[e] <==> ac[c] + h[c]	3	"Transport, Extracellular"	Rfer_3782	ActP
ASPt2	L-aspartate transport in via proton symport	asp-L[e] + h[e] --> asp-L[c] + h[c]	3	"Transport, Extracellular"	Rfer_3455	GltP
BUTSabc	butanesulfonate transport via ABC system	atp[c] + buts[e] + h2o[c] --> adp[c] + buts[c] + h[c] + pi[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
CO2t	CO2 transport out via diffusion	co2[e] <==> co2[c]	4	"Transport, Extracellular"		
ETHSabc	ethanesulfonate transport via ABC system	atp[c] + eths[e] + h2o[c] --> adp[c] + eths[c] + h[c] + pi[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
ETOHt1	ethanol transport in/out via diffusion	etoh[e] <==> etoh[c]	1	"Transport, Extracellular"		
FUMt6_na	fumarate transport in/out via sodium symport	fum[e] + na1[e] <==> fum[c] + na1[c]	3	"Transport, Extracellular"	Rfer_1440	DctA
GLNabc	L-glutamine transport via ABC system	atp[c] + gln-L[e] + h2o[c] --> adp[c] + gln-L[c] + h[c] + pi[c]	3	"Transport, Extracellular"	"Rfer_3807, Rfer_3809, Rfer_3808, Rfer_0966, Rfer_4160, Rfer_0968"	"GlnHec+GlnQec+GlnPec, GlnH+GlnQ+GlnP"
GLUt6	L-glutamate transport in/out via proton symporter	glu-L[e] + h[e] <==> glu-L[c] + h[c]	3	"Transport, Extracellular"	Rfer_3455	GltP
GLYC3Pabc	sn-Glycerol 3-phosphate transport via ABC system	atp[c] + glyc3p[e] + h2o[c] --> adp[c] + glyc3p[c] + h[c] + pi[c]	3	"Transport, Extracellular"	"Rfer_1287, Rfer_1284, Rfer_1285, Rfer_1286"	UgpE+UgpA+UgpB+UgpC
H2Ot5	H2O transport via diffusion	h2o[e] <==> h2o[c]	4	"Transport, Extracellular"		
HEXSabc	hexanesulfonate transport via ABC system	atp[c] + h2o[c] + hexs[e] --> adp[c] + h[c] + hexs[c] + pi[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
HOMt	Homoserine efflux	h[e] + hom-L[c] --> h[c] + hom-L[e]	2	"Transport, Extracellular"	Rfer_3462	RhtB
ISTNTabc	Isethionate transport via ABC system	atp[c] + h2o[c] + istnt[e] --> adp[c] + h[c] + istnt[c] + pi[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
MALt6_na	malate/sodium symporter	mal-L[e] + na1[e] <==> mal-L[c] + na1[c]	3	"Transport, Extracellular"	Rfer_1440	DctA
METabc	L-methionine transport via ABC system	atp[c] + h2o[c] + met-L[e] --> adp[c] + h[c] + met-L[c] + pi[c]	3	"Transport, Extracellular"	"Rfer_1770, Rfer_1772, Rfer_1771"	MetQ+MetI+MetN
METDabc	D-methionine transport via ABC system	atp[c] + h2o[c] + met-D[e] --> adp[c] + h[c] + met-D[c] + pi[c]	3	"Transport, Extracellular"	"Rfer_1770, Rfer_1772, Rfer_1771"	MetQ+MetI+MetN
MOBDabc	molybdate transport via ABC system	atp[c] + h2o[c] + mobd[e] --> adp[c] + h[c] + mobd[c] + pi[c]	2	"Transport, Extracellular"	"Rfer_2858, Rfer_2859, Rfer_2860"	ModC+ModB+ModA
MOPSabc	MOPS transport via ABC system	atp[c] + h2o[c] + mops[e] --> adp[c] + h[c] + mops[c] + pi[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
NAt3_2	sodium proton antiporter (H:NA is 2)	(2) h[e] + na1[c] --> (2) h[c] + na1[e]	3	"Transport, Extracellular"	Rfer_2582	NhaA
NH4t	ammonium transport via diffusion	nh4[e] <==> nh4[c]	3	"Transport, Extracellular"	Rfer_0473	AmtB
NO3t7	nitrate transport in via nitrite antiport	no2[c] + no3[e] --> no2[e] + no3[c]	3	"Transport, Extracellular"	Rfer_2791	NarKec
OROTt2_2	orotate transport via sodium symport	na1[e] + orot[e] <==> na1[c] + orot[c]	3	"Transport, Extracellular"	Rfer_1440	DctA
PIabc	phosphate transport via ABC system	atp[c] + h2o[c] + pi[e] --> adp[c] + h[c] + (2) pi[c]	3	"Transport, Extracellular"	"Rfer_0583, Rfer_0580, Rfer_0582, Rfer_0581"	PstD+PstB+PstA+PstC
PPNabc	phosphonate transport via ABC system	atp[c] + h2o[c] + ppn[e] --> adp[c] + h[c] + pi[c] + ppn[c]	3	"Transport, Extracellular"	"Rfer_0140+Rfer_0141, Rfer_0184+Rfer_0183+Rfer_0185"	PtxABC
PTRCabc	putrescine transport via ABC system	atp[c] + h2o[c] + ptrc[e] --> adp[c] + h[c] + pi[c] + ptrc[c]	3	"Transport, Extracellular"	"Rfer_0888, Rfer_0353, Rfer_0354, Rfer_0352, Rfer_0887, Rfer_0355, Rfer_3242, Rfer_0889"	"PotA+PotDec+PotB+PotC, PotF+PotH+PotI+PotG"
PYRt2	pyruvate reversible transport via proton symport	h[e] + pyr[e] <==> h[c] + pyr[c]	1	"Transport, Extracellular"		
SPMDabc	spermidine transport via ABC system	atp[c] + h2o[c] + spmd[e] --> adp[c] + h[c] + pi[c] + spmd[c]	2	"Transport, Extracellular"	"Rfer_0888, Rfer_0887, Rfer_3242, Rfer_0889"	PotA+PotDec+PotC+PotB
SUCCt6_na	succinate transporter in/out via sodium symport	na1[e] + succ[e] <==> na1[c] + succ[c]	3	"Transport, Extracellular"	Rfer_1440	DctA
SUCFUMtdc	dicarboyxlic acid transporter (succinate:fumarate)	fum[e] + succ[c] <==> fum[c] + succ[e]	3	"Transport, Extracellular"	"Rfer_3576, Rfer_3845"	"DcuB2, DcuB"
SULAabc	sulfoacetate transport via ABC system	atp[c] + h2o[c] + sula[e] --> adp[c] + h[c] + pi[c] + sula[c]	3	"Transport, Extracellular"	Rfer_1775+Rfer_1776+Rfer_1778	SsuABC
CHORS	chorismate synthase	[c] : 3psme --> chor + pi	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_3161	AroC
DAHPS	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	[c] : e4p + h2o + pep --> 2dda7p + pi	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"Rfer_3367, Rfer_0482"	"AroF, AroGec"
DHQD1	3-dehydroquinate dehydratase	[c] : 3dhq <==> 3dhsk + h2o	2	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_2381	AroD
DHQS	3-dehydroquinate synthase	[c] : 2dda7p --> 3dhq + pi	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"Rfer_1247, Rfer_2926"	"AroB, AroB2"
PHETA1	phenylalanine transaminase	[c] : akg + phe-L <==> glu-L + phpyr	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"Rfer_2174, Rfer_0506"	"IlvE, TyrB"
PHETRS	Phenylalanyl-tRNA synthetase	[c] : atp + phe-L + trnaphe --> amp + phetrna + ppi	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_1340+Rfer_1341	PheRS
PSCVT	3-phosphoshikimate 1-carboxyvinyltransferase	[c] : pep + skm5p <==> 3psme + pi	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_1567	AroA
SHK3D	shikimate dehydrogenase	[c] : 3dhsk + h + nadph <==> nadp + skm	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_3413	AroEec
SHKK	shikimate kinase	[c] : atp + skm --> adp + h + skm5p	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_2925	AroK
TYRTA	tyrosine transaminase	[c] : akg + tyr-L <==> 34hpp + glu-L	3	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	Rfer_2174	TyrB
ATPM	ATP maintenance requirment	[c] : atp + h2o --> adp + h + pi	1	Unassigned		
HCO3E	carbonate dehydratase (HCO3 equilibration reaction)	[c] : co2 + h2o <==> h + hco3	3	Unassigned	Rfer_3841	YadF
L-LACD2	L-Lactate dehydrogenase (ubiquinone)	[c] : lac-L + ubq8 --> pyr + ubq8h2	3	Unassigned	Rfer_2351	LldD
L-LACD3	L-Lactate dehydrogenase (menaquinone)	[c] : lac-L + mqn8 --> mql8 + pyr	3	Unassigned	Rfer_2351	LldD
SELNPS	Selenophosphate synthase	[c] : atp + h2o + seln --> amp + pi + selnp	3	Unassigned	Rfer_2844	SelD
SOD	superoxide dismutase	[c] : (2) h + (2) o2- --> h2o2 + o2	3	Unassigned	Rfer_3151	SodB
OIVD1	2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate)	[c] : 4mop + coa + nad <==> co2 + ivcoa + nadh	3	"Valine, Leucine, and Isoleucine Degradation"	"Rfer_3554, Rfer_3553"	BkdA1+BkdA2
OIVD2	2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate)	[c] : 3mob + coa + nad --> co2 + ibcoa + nadh	3	"Valine, Leucine, and Isoleucine Degradation"	"Rfer_3554, Rfer_3553"	BkdA1+BkdA2
OIVD3	2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate)	[c] : 3mop + coa + nad --> 2mbcoa + co2 + nadh	3	"Valine, Leucine, and Isoleucine Degradation"	"Rfer_3554, Rfer_3553"	BkdA1+BkdA2
ACHBS	2-aceto-2-hydroxybutanoate synthase	[c] : 2obut + h + pyr --> 2ahbut + co2	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_3322+Rfer_3323	IlvH
ACLS	acetolactate synthase (Also catalyzes ACHBS)	[c] : h + (2) pyr --> alac-S + co2	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_3322+Rfer_3323	IlvH
ILETA	isoleucine transaminase	[c] : akg + ile-L <==> 3mop + glu-L	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_0506	IlvE
ILETRS	Isoleucyl-tRNA synthetase	[c] : atp + ile-L + trnaile --> amp + iletrna + ppi	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_1432	IleS
IPPMIa	3-isopropylmalate dehydratase	[c] : 3c2hmp <==> 2ippm + h2o	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_1794+Rfer_1795	LeuC
IPPMIb	2-isopropylmalate hydratase	[c] : 2ippm + h2o <==> 3c3hmp	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_1794+Rfer_1795	LeuC
LEUTAi	leucine transaminase (irreversible)	[c] : 4mop + glu-L --> akg + leu-L	3	"Valine, Leucine, and Isoleucine Metabolism"	"Rfer_2174, Rfer_0506"	"TyrB, IlvE"
LEUTRS	Leucyl-tRNA synthetase	[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_0758	LeuS
THRD_L	L-threonine deaminase	[c] : thr-L --> 2obut + nh4	3	"Valine, Leucine, and Isoleucine Metabolism"	"Rfer_0344, Rfer_0733, Rfer_1084"	"IlvA, SdaB, IlvA2"
VALTA	valine transaminase	[c] : akg + val-L <==> 3mob + glu-L	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_0506	IlvE
VALTRS	Valyl-tRNA synthetase	[c] : atp + trnaval + val-L --> amp + ppi + valtrna	3	"Valine, Leucine, and Isoleucine Metabolism"	Rfer_2376	ValS
ACBIPGT	Adenosyl cobainamide GTP transferase	[c] : adcobap + gtp + h --> adgcoba + ppi	2	Vitamins & Cofactor Biosynthesis	Rfer_2622	CobU
ADCOBAK	Adenosyl cobinamide kinase	[c] : adcoba + atp --> adcobap + adp + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2622	CobU
ADCOBAS	adenosylcobinamide-phosphate synthase	[c] : 1ap2ol + adcobhex --> adcoba + h2o	2	Vitamins & Cofactor Biosynthesis	Rfer_2616	CbiB
ADCOBHEXS	adenosylcobyric acid synthase	[c] : adcobdam + (4) atp + (4) gln-L + (4) h2o --> adcobhex + (4) adp + (4) glu-L + (4) h + (4) pi	3	Vitamins & Cofactor Biosynthesis	Rfer_2612	CobQ
ADCPS2	adenosylcobinamide-phosphate synthase	[c] : 1ap2olp + adcobhex + atp --> adcobap + adp + h + pi	2	Vitamins & Cofactor Biosynthesis	Rfer_2616	CbiB
CO2DAMR	"cob(II)yrinic acid a,c-diamide reductase"	[c] : (2) co2dam + nadh --> (2) co1dam + h + nad	3	Vitamins & Cofactor Biosynthesis	Rfer_2617	BluB
COBPS	cobalamin-5'-phosphate synthase	[c] : adgcoba + rdmbzi --> cobamcoa + gmp + h	3	Vitamins & Cofactor Biosynthesis	Rfer_2610	CobS
CYRDAAT	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	[c] : atp + co1dam + h --> adcobdam + pppi	3	Vitamins & Cofactor Biosynthesis	Rfer_2618	BtuR
CYRDAS	"Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)"	[c] : (4) atp + (2) cobrnt + (4) gln-L + (2) h2o --> (4) adp + (2) co2dam + (4) glu-L + (2) h + (2) ppi	3	Vitamins & Cofactor Biosynthesis	Rfer_2624	CbiA
DB4PS	"3,4-Dihydroxy-2-butanone-4-phosphate synthase"	[c] : ru5p-D --> db4p + for + h	3	Vitamins & Cofactor Biosynthesis	Rfer_2668	RibA
DHFOR2	dihydrofolate reductase	[c] : dhf + nadp <==> fol + nadph	2	Vitamins & Cofactor Biosynthesis	Rfer_2985	DfrA
DHFOR3	dihydrofolate reductase	[c] : fol + h + (2) nadph <==> (2) nadp + thf	2	Vitamins & Cofactor Biosynthesis	Rfer_2985	DfrA
DHFR	dihydrofolate reductase	[c] : dhf + h + nadph <==> nadp + thf	2	Vitamins & Cofactor Biosynthesis	Rfer_2985	DfrA
DPCOAK	dephospho-CoA kinase	[c] : atp + dpcoa --> adp + coa + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2905	CoaE
GTPCII	GTP cyclohydrolase II	[c] : gtp + (3) h2o --> 25dhpp + for + (2) h + ppi	3	Vitamins & Cofactor Biosynthesis	Rfer_2668	RibA
HMPK1	hydroxymethylpyrimidine kinase (ATP)	[c] : 4ahmmp + atp --> 4ampm + adp + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2470	ThiD
HMPK2	hydroxymethylpyrimidine kinase (CTP)	[c] : 4ahmmp + ctp --> 4ampm + cdp + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2470	ThiD
HMPK3	hydroxymethylpyrimidine kinase (UTP)	[c] : 4ahmmp + utp --> 4ampm + h + udp	2	Vitamins & Cofactor Biosynthesis	Rfer_2470	ThiD
HMPK4	hydroxymethylpyrimidine kinase (GTP)	[c] : 4ahmmp + gtp --> 4ampm + gdp + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2470	ThiD
HPPK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	[c] : 2ahhmp + atp --> 2ahhmd + amp + h	2	Vitamins & Cofactor Biosynthesis	Rfer_2508	FolK
MECDPDH	"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase"	[c] : 2mecdp + nadh --> h2mb4p + h2o + nad	3	Vitamins & Cofactor Biosynthesis	Rfer_2307	IspG
MTHFC	methenyltetrahydrofolate cyclohydrolase	[c] : h2o + methf <==> 10fthf + h	3	Vitamins & Cofactor Biosynthesis	Rfer_2209	FolD2
MTHFD	methylenetetrahydrofolate dehydrogenase (NADP)	[c] : mlthf + nadp <==> methf + nadph	3	Vitamins & Cofactor Biosynthesis	Rfer_2209	FolD2
NNAM	nicotinamidase	[c] : h2o + ncam --> nac + nh4	3	Vitamins & Cofactor Biosynthesis	Rfer_0828	PncA
NNDMBRT	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	[c] : dmbzid + nicrnt --> 5prdmbz + h + nac	3	Vitamins & Cofactor Biosynthesis	Rfer_2611	CobT
NNDMBRT2	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	[c] : ribflv --> dmbzid + unknown1	3	Vitamins & Cofactor Biosynthesis	Rfer_2611	CobT
PMPK	phosphomethylpyrimidine kinase	[c] : 4ampm + atp --> 2mahmp + adp	2	Vitamins & Cofactor Biosynthesis	Rfer_2470	ThiD
PNTEH	Hydrolase Class ( RXN R02973)	[c] : h2o + ptth --> cysam + pnto-R	3	Vitamins & Cofactor Biosynthesis	Rfer_0828	PncA
PPBNGS	porphobilinogen synthase	[c] : (2) 5aop --> h + (2) h2o + ppbng	3	Vitamins & Cofactor Biosynthesis	Rfer_3805	HemB
RBFSa	riboflavin synthase	[c] : 4r5au + db4p --> dmlz + (2) h2o + pi	2	Vitamins & Cofactor Biosynthesis	Rfer_2667+Rfer_2669	RibEH
RBFSb	riboflavin synthase	[c] : (2) dmlz --> 4r5au + ribflv	2	Vitamins & Cofactor Biosynthesis	Rfer_2667+Rfer_2669	RibEH
RBZP	alpha-ribazole-5-phosphatase	[c] : 5prdmbz + h2o --> pi + rdmbzi	2	Vitamins & Cofactor Biosynthesis	Rfer_2609	CobC
SHCHCC	sirohydrochlorin cobaltochelatase	[c] : cobalt2 + (0.5) nad + shcl --> copre2 + (2.5) h + (0.5) nadh	2	Vitamins & Cofactor Biosynthesis	Rfer_2113	CbiX
THPDH	NAD-dependent threonine 4-phosphate dehydrogenase	[c] : nad + phthr --> amopbut-L + h + nadh	3	Vitamins & Cofactor Biosynthesis	Rfer_3565	PdxA
UPP3MT	uroporphyrinogen methyltransferase	[c] : (2) amet + uppg3 --> (2) ahcys + (2) h + shcl	3	Vitamins & Cofactor Biosynthesis	Rfer_2883	HemD
UPP3S	uroporphyrinogen-III synthase	[c] : hmbil --> h2o + uppg3	3	Vitamins & Cofactor Biosynthesis	Rfer_2883	HemD
						
						
List of Exchange Reactions						
						
The reaction agg_GS13m_2 represents the biomass reaction						
This sheet gives information on all the reactions that allow the 						
exchange of the metabolites with the environment						
						
Abbreviation	Reaction Name	Reaction Equation				
EX_2ddglcn(e)	2-Dehydro-3-deoxy-D-gluconate exchange	[e] : 2ddglcn <==>				
EX_ac(e)	Acetate exchange	[e] : ac <==>				
EX_ala-D(e)	D-Alanine exchange	[e] : ala-D <==>				
EX_alaala(e)	D-Alanyl-D-alanine exchange	[e] : alaala <==>				
EX_arab-L(e)	L-Arabinose exchange	[e] : arab-L <==>				
EX_arg-L(e)	L-Arginine exchange	[e] : arg-L <==>				
EX_asp-L(e)	L-Aspartate exchange	[e] : asp-L <==>				
EX_buts(e)	butanesulfonate exchange	[e] : buts <==>				
EX_bz(e)	Benzoate exchange	[e] : bz <==>				
EX_ca2(e)	Calcium exchange	[e] : ca2 <==>				
EX_cd2(e)	Cadmium exchange	[e] : cd2 <==>				
EX_cellb(e)	cellobiose exchange	[e] : cellb <==>				
EX_cgly(e)	Cys-Gly exchange	[e] : cgly <==>				
EX_cit(e)	Citrate exchange	[e] : cit <==>				
EX_co2(e)	CO2 exchange	[e] : co2 <==>				
EX_cobalt2(e)	Co2+ exchange	[e] : cobalt2 <==>				
EX_cro4(e)	chromate exchange	[e] : cro4 <==>				
EX_cu2(e)	Cu2+ exchange	[e] : cu2 <==>				
EX_eths(e)	ethanesulfonate exchange	[e] : eths <==>				
EX_etoh(e)	Ethanol exchange	[e] : etoh <==>				
EX_fe2(e)	Fe2+ exchange	[e] : fe2 <==>				
EX_fe3(e)	Fe3+ exchange	[e] : fe3 <==>				
EX_fru(e)	D-Fructose exchange	[e] : fru <==>				
EX_fum(e)	Fumarate exchange	[e] : fum <==>				
EX_glc(e)	D-Glucose exchange	[e] : glc-D <==>				
EX_gln-L(e)	L-Glutamine exchange	[e] : gln-L <==>				
EX_glu-L(e)	L-Glutamate exchange	[e] : glu-L <==>				
EX_glyc3p(e)	sn-Glycerol 3-phosphate exchange	[e] : glyc3p <==>				
EX_glyclt(e)	Glycolate exchange	[e] : glyclt <==>				
EX_gthrd(e)	Reduced glutathione exchange	[e] : gthrd <==>				
EX_h(e)	H+ exchange	[e] : h <==>				
EX_h2(e)	H2 exchange	[e] : h2 <==>				
EX_h2o(e)	H2O exchange	[e] : h2o <==>				
EX_hexs(e)	hexanesulfonate exchange	[e] : hexs <==>				
EX_hom-L(e)	L-Homoserine exchange	[e] : hom-L <==>				
EX_ile-L(e)	L-Isoleucine exchange	[e] : ile-L <==>				
EX_istnt(e)	Isethionate exchange	[e] : istnt <==>				
EX_k(e)	K+ exchange	[e] : k <==>				
EX_lac-L(e)	L-Lactate exchange	[e] : lac-L <==>				
EX_leu-L(e)	L-Leucine exchange	[e] : leu-L <==>				
EX_mal-L(e)	L-Malate exchange	[e] : mal-L <==>				
EX_met-D(e)	D-Methionine exchange	[e] : met-D <==>				
EX_met-L(e)	L-Methionine exchange	[e] : met-L <==>				
EX_mg2(e)	Mg exchange	[e] : mg2 <==>				
EX_mn2(e)	Mn2+ exchange	[e] : mn2 <==>				
EX_mobd(e)	Molybdate exchange	[e] : mobd <==>				
EX_mops(e)	MOPS exchange	[e] : mops <==>				
EX_na1(e)	Sodium exchange	[e] : na1 <==>				
EX_nh4(e)	Ammonium exchange	[e] : nh4 <==>				
EX_ni2(e)	Ni2+ exchange	[e] : ni2 <==>				
EX_no2(e)	Nitrite exchange	[e] : no2 <==>				
EX_no3(e)	Nitrate exchange	[e] : no3 <==>				
EX_o2(e)	O2 exchange	[e] : o2 <==>				
EX_orot(e)	Orotate exchange	[e] : orot <==>				
EX_pi(e)	Phosphate exchange	[e] : pi <==>				
EX_ppa(e)	Propionate exchange	[e] : ppa <==>				
EX_ppn(e)	Phosphonate exchange	[e] : ppn <==>				
EX_pro-L(e)	L-Proline exchange	[e] : pro-L <==>				
EX_ptrc(e)	Putrescine exchange	[e] : ptrc <==>				
EX_pyr(e)	Pyruvate exchange	[e] : pyr <==>				
EX_rib-D(e)	D-Ribose exchange	[e] : rib-D <==>				
EX_so4(e)	Sulfate exchange	[e] : so4 <==>				
EX_spmd(e)	Spermidine exchange	[e] : spmd <==>				
EX_succ(e)	Succinate exchange	[e] : succ <==>				
EX_sula(e)	Sulfoacetate exchange	[e] : sula <==>				
